,Type_of_Accomordation,Location_of_Accomodation,Info_Of_Accomordation,No_of_guest,Rooms,Beds,Bath,Ratings,Review,Total/Night
284,Entire townhouse ,Pr,Quiet 2-bedroom home surrounded by tropical garden,6 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,17 reviews ,$579 CAD per night
285,Entire condo ,Pr,Beautiful spacious ocean and mountain view condo .,4 guests , 2 bedrooms , 1 bed , 2 baths,empty,,$492 CAD per night
286,Entire condo ,Pr,Princeville 2BR / 2BA Remodeled Condo with Views,5 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,7 reviews ,$565 CAD per night
287,Entire condo ,Kihei,Bright and Cheery Maui Vista 2 bed 2 bath,4 guests , 2 bedrooms , 2 beds , 2 baths,4.71 ,24 reviews ,$379 CAD per night
288,Entire rental unit ,Honolulu,2 Bedroom / 1 Bath Corner Unit with Great Views!!,8 guests , 2 bedrooms , 4 beds , 1 bath,4.32 ,28 reviews ,$429 CAD per night
289,Entire condo ,Kihei,"Ocean view, ground fl 1 brdm Hale Kamaole - #164",4 guests , 1 bedroom , 2 beds , 1 bath,4.95 ,22 reviews ,$375 CAD per night
291,Entire rental unit ,Honolulu,Ohana house 2,4 guests , 2 bedrooms , 2 beds , 1 bath,empty,,$323 CAD per night
292,Entire home ,Hakalau,Hale Aloha - Home of Aloha and Warmth,5 guests , 3 bedrooms , 4 beds , 1.5 baths,4.94 ,16 reviews ,$282 CAD per night
294,Entire condo ,Pr,Beautiful 2bdrm Air-Conditioned condo - pool/spa,4 guests , 2 bedrooms , 3 beds , 2 baths,4.94 ,17 reviews ,$595 CAD per night
295,Entire townhouse ,Waimea,"Mauna Lani Palm Villas F-1 Townhome, Brand New!!",8 guests , 3 bedrooms , 4 beds , 3 baths,4.88 ,17 reviews ,$964 CAD per night
296,Entire condo ,Kihei,Palms of Wailea,5 guests , 2 bedrooms , 3 beds , 2 baths,4.87 ,54 reviews ,$562 CAD per night
297,Entire home ,Pāhoa,Relaxing Country Home with Lush Yard,6 guests , 3 bedrooms , 4 beds , 2 baths,4.86 ,28 reviews ,$225 CAD per night
